movie_id,title_x,tags
19995,Avatar,"in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. enter the world of pandora. action adventur fantasi sciencefict cultur clash futur space war space coloni societi space travel futurist romanc space alien tribe alien planet cgi marin soldier battl love affair anti war power relat mind and soul 3d samworthington zoesaldana sigourneyweav stephenlang michellerodriguez giovanniribisi joeldavidmoor cchpounder wesstudi lazalonso dileeprao mattgerald seananthonymoran jasonwhyt scottlawr kellykilgour jamespatrickpitt seanpatrickmurphi peterdillon kevindorman kelsonhenderson davidvanhorn jacobtomuri michaelblain-rozgay joncurri lukehawk woodyschultz petermensah soniaye jahnelcurfman ilramchoi kylawarren lisaroumain debrawilson chrismala taylorkibbi jodielandau julielamm cullenb.madden josephbradymadden frankietorr austinwilson sarawilson tamicawashington-mil lucybri nathanmeist gerryblair matthewchamberlain paulyat wraywilson jamesgaylyn melvinlenoclarkiii carvonfutrel brandonjelk micahmoch hanniyahmuhammad christophernolen christaoliv aprilmariethoma bravitaa.threatt colinbleasdal mikebodnar mattclayton nicoledionn jamieharrison allanhenri anthonyingrub ashleyjefferi deanknowsley josephmika-hunt terrynotari kaipantano loganpithy stuartpollock raja garethruck rhiansheehan t.j.storm jodietaylor aliciavela-bailey richardwhitesid nikiezambo julenerene jamescameron jamescameron jonlandau"
285,Pirates of the Caribbean: At World's End,"captain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems. at the end of the world, the adventur begins. adventur fantasi action ocean drug abus exot island east india trade compani love of one' life traitor shipwreck strong woman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat billnighi geoffreyrush jackdavenport kevinmcn tomholland naomieharri jonathanpryc keithrichard leearenberg mackenziecrook gregelli davidbaili martinklebba davidschofield laurenmah vanessabranch angusbarnett gilesnew reggiele dominicscottkay takayofisch davidmeuni ho-kwants andybeckwith peterdonaldbadalamentiii christophers.capp keithrichard hakeemkae-kazim ghassanmassoud goreverbinski jerrybruckheim ericmcleod chadoman peterkohn patsandston"
206647,Spectre,"a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre. a plan no one escap action adventur crime spi base on novel secret agent sequel mi6 british secret servic unit kingdom danielcraig christophwaltz léaseydoux ralphfienn monicabellucci benwhishaw naomieharri davebautista andrewscott rorykinnear jesperchristensen alessandrocremona stephaniesigman tenochhuerta adrianapaz domenicofortunato marcozingaro stefanoelfidiclaudia ianbonar tamwilliam richardbanham pipcart simonlenagan alessandrobressanello marczinga brigittemillar adelbencherif gediminasadoma peppelanzetta francescoarca matteotaranto emilioaniba benitosagredo daitabuchi georgelasha sargonyelda andycheung erickhayden olegmirochnikov antoniosalin miloudmouradbenamara gidoschimanski nigelbarb patricenaiambana stephanecornicard garyfannin sadaoueda philliplaw waiwong josephbalderrama eijimihara junichikajioka victorschefé haraldwindisch tristanmatthia detlefboth bodofrieseck wilhemiben noemikrausz noahsaavedra francisattakpah michaelglantschnig marlonboess mariewohlmuth lilieppli konstantingerlach laraparmiani umitulgen amramallassi ziadabaza walidmumuni derekhorsham nariblair-mangat michaelwhit adammcgradi naderdernaika pezhmaanalinia judidench nevegachev karlfarr kimadi maurisaselenecoleman matijamondimatović sammend barbarabroccoli michaelg.wilson"
49026,The Dark Knight Rises,"follow the death of district attorney harvey dent, batman assum respons for dent' crime to protect the late attorney' reput and is subsequ hunt by the gotham citi polic department. eight year later, batman encount the mysteri selina kyle and the villain bane, a new terrorist leader who overwhelm gotham' finest. the dark knight resurfac to protect a citi that ha brand him an enemy. the legend end action crime drama thriller dc comic crime fighter terrorist secret ident burglar hostag drama time bomb gotham citi vigilant cover-up superhero villai tragic hero terror destruct catwoman cat burglar imax flood crimin underworld batman christianbal michaelcain garyoldman annehathaway tomhardi marioncotillard josephgordon-levitt morganfreeman cillianmurphi junotempl liamneeson matthewmodin alonaboutboul benmendelsohn nestorcarbonel joshpenc tomconti joeyk warrenbrown danielsunjata samkennard aliashtepina nickjulian mirandanolan clairejulien aidangillen burngorman brettcullen reggiele josephlyletaylor chriselli duanehenri jamesharveyward gonzalomenendez cameronjack lexdaniel tylerdeanflor thomaslennon trevorwhit robbrown fredriclehn courtneymunch chrishil travisguba jaybenedict willest daviddayanfish glenpowel russfega andresperez-molina brentbrisco johnnolan olivercotton markkilleen sarahgoldberg johnmacmillan robertwisdom ronniegeneblevin johnhollingworth ianbohen urigavriel noelgugliemi hectoratreyuruiz patrickcox aramisknight joshstewart williamdevan davidgyasi patrickjordan joshuaelijahrees desmondharrington mychaelb tomasarana peterholden davidmonahan jillianarmenant ajaevan aldousdavidson wadewilliam jakecanuso massifurlan christopherjudg patrickleahi toddgearhart marcabbink isiahadam charliealejandro robertarensen grantbabbitt fileenabahri rickboland kylepatrickbrennan scottchurchson billcowh grahamcurri stephaniedominiehlert johnfarr frankfata christopherbryangomez vitograssi michaelwrengucciardo samharri edheavey johnw.iwanonkiw cindyjackson danieljordano williamkania tiffanykemp sunjaekim hrvojeklecz alexkruz tylerlamarr lejon pauljudeleterski joelipari silvialombardo jorgemardel calemcconnel daviddalemccu tiffanysandermckenzi allenmerritt olanmontgomeri alexmoor shanenolan jacksonnunn josepho'brien michaelpapajohn salomonpassariello kyledavidpierc troypolamalu michaelpow jamesrawl kirstenroet benroethlisberg markroman anthonyj.sacco ericsalazar emilyschooley thomastul chrisvaina vincentvanommen michellevezzani barbaravinc justinmichaelwood jasonye mariazambrana johnzion alexziwak tommybayioko matthewgooley jeffmoffitt markfalvo diogohausen garysiev orionmccab londonmay jamesquinn danielnewman charlesroven christophernolan christophernolan emmathoma"
49529,John Carter,"john carter is a war-weary, former militari captain who' inexplic transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands. lost in our world, found in another. action adventur sciencefict base on novel mar medallion space travel princess alien steampunk martian escap edgar rice burrough alien race superhuman strength mar civil sword and planet 19th centuri 3d taylorkitsch lynncollin samanthamorton willemdafo thomashadenchurch markstrong ciaránhind dominicwest jamespurefoy bryancranston pollywalk darylsabara arkiereec davoodghadami pippanixon jamesembre philipphilmar emilytierney edmundkent nicholaswoodeson kyleagnew donstark joshdaugherti jaredcyr christophergoodman amandaclayton josephbillingier andrewstanton colinwilson jimmorri lindseycollin"
559,Spider-Man 3,"the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle. the battl within. fantasi action adventur dual ident amnesia sandstorm love of one' life forgiv spider wretch death of a friend egomania sand narcism hostil marvel comic sequel superhero reveng tobeymaguir kirstendunst jamesfranco thomashadenchurch tophergrac brycedallashoward rosemaryharri jamescromwel j.k.simmon theresarussel dylanbak billnunn elizabethbank tedraimi perlahaney-jardin willemdafo cliffrobertson elyabaskin mageinatovah michaelpapajohn joemanganiello stanle brucecampbel christopheryoung grantcurti danielgilli johnpaxton beckyannbak stevevalentin halfishman lucygordon toniwynn andreb.blak timmaculan marcvann joebay greggdaniel rogeliot.ramo timothypatrickquil kathrynbryd joevirzi bille.rog michaelalexand aprilparker-jon edwardpadilla robertcurtisbrown paulterrellclayton carolynneff christinacindrich sonyamaddox derrick'phoenix'thoma jessicollin michaelmclaughlin annegartlan emiliorivera keithwoulard reynaldogallego jimcoop deanedward margaretlaney aimeemil tanyabond markkubr tonybesson ramonadam a.j.adelman angelisalexandri dawnmarieanderson frankanello anyaavaeva davidbacku tiffanyl.bak marcc.cancassi sujeileecandel michaelciesla irinacosta johncrann crystalmariedenha amyv.dewhurst pauledney nataliefabri keithfausnaught amandaflorian briannaleannflorian tiffanyashleyflorian shaunpatrickflynn loganfri kevinfung tonygaltieri chuckgerena brianhopson claudejay juliejei andrewjamesjon nataliejon christopherjud brittanykral alyssalakota tialatrel lindale pierangelillina bernadettelord sandrinemarli lauramcdavid nataliemcneil danielmignault marthamillan michele-nanettemil claudiakatzminnick robertmy josepho'brien jenoda anjeliapelay nickpoltoranin vanessareseland lariv briarobert luisrosa vanessaross brennaroth shaderup aricksalmea ericshackelford danielshaf abbeyskinn kristinsomo jenniferspark christopherstaduli jimmystar arnestarr liamston tajnatanov aijaterauda brigidturn evelynvaccaro nickvlassopoulo sincerelya.ward silqwebst graigf.weich fredrickweiss jenniferweston trentonwilley raywinet samraimi lauraziskin aviarad grantcurti"
38757,Tangled,"when the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs. they'r take adventur to new lengths. anim famili hostag magic hors fairi tale music princess anim tower blond woman selfish heal power base on fairi tale duringcreditssting heal gift anim sidekick zacharylevi mandymoor donnamurphi ronperlman m.c.gainey jeffreytambor bradgarrett paulf.tompkin richardkiel delaneyrosestein nathangreno byronhoward timmerten royconli byronhoward nathangreno"
99861,Avengers: Age of Ultron,"when toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure. a new age ha come. action adventur sciencefict marvel comic sequel superhero base on comic book vision superhero team duringcreditssting marvel cinemat univers 3d robertdowneyjr. chrishemsworth markruffalo chrisevan scarlettjohansson jeremyrenn jamesspad samuell.jackson doncheadl aarontaylor-johnson elizabetholsen paulbettani cobiesmuld anthonymacki hayleyatwel idriselba lindacardellini stellanskarsgård claudiakim thomaskretschmann andyserki juliedelpi stanle henrygoodman chrisluca brianschaeff dominiqueprovost-chalkley isaacandrew garethkieranjon chanwoolim minheeyeo bentleykalu julianbleach christopherbeasley vuyodabula nondumisotemb kabelothai leleleowaba mandlagaduka harrietmanamela beulahhash muscakumalo mathapeloseptemb antonyacheampong chiomaanyanwu bensakamoto imogenpoynton isabellapoynton ingvilddeila sunnyyeo namjugo minakweon earlt.kim arthurle verityhewlett michaelmatovski almanoc riccardorichetta constanzaruff montymclaren-clark juliakrynk tonychristensen iankay barryaird aaronhimelstein kerrycondon jaidenstafford dilyanabouklieva joshbrolin jotinagra nickw.nicholson danielwestwood kevinfeig josswhedon"
767,Harry Potter and the Half-Blood Prince,"as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past. dark secret reveal adventur fantasi famili witch magic broom school of witchcraft wizardri apparit teenag crush werewolf danielradcliff rupertgrint emmawatson tomfelton michaelgambon jimbroadb helenabonhamcart robbiecoltran maggiesmith alanrickman timothyspal davidthewli juliewalt matthewlewi evannalynch bonniewright oliverphelp jamesphelp markwilliam warwickdavi nataliatena katieleung davelegeno geraldinesomervil helenmccrori freddiestroma davidbradley frankdillan herofiennes-tiffin gemmajon afshanazad shefalichowdhuri georginaleonida devonmurray annashaff joshherdman jamiewaylett scarlettbyrn jessiecav louiscordic alfieenoch robertknox williammel paulritt isabellalaughland ralphineson suzannetoas rodhunt elaricagallach davidheyman davidy davidbarron timlewi"
209112,Batman v Superman: Dawn of Justice,"fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before. justic or reveng action adventur fantasi dc comic vigilant superhero base on comic book reveng super power clark kent bruce wayn dc extend univers benaffleck henrycavil galgadot amyadam jesseeisenberg dianelan jeremyiron laurencefishburn hollyhunt scootmcnairi callanmulvey taookamoto jenamalon brandonspink laurencohan hughmaguir michaelcassidi aland.purwin danamboy rebeccabul harrylennix christinawren jadechynoweth chadkrowchuk kevincostn ezramil patrickwilson michaelshannon charlieros vikramgandhi andrewsullivan neildegrassetyson jonstewart soledado'brien erikar.erickson danabash nancygrac andersoncoop brookebaldwin carlagugino jasonmomoa joemorton rayfish josephcranford emilypeterson jeffreydeanmorgan sammirotibi hannadworkin tiffanyl.addison owaisahm anishjethmalani tiffanybedwel nataleearteaga keithd.gallagh jeffduma miriamle aliciaregan stephaniekoenig ripleysobo richardburden juliustennon wunmimosaku dennisnorth kiffvandenheuvel masonheidg ahneyh kristinecabanban sebastiansozzi kentshocknek ralphlist sammya.publ jayr.adam davidmidura jaytow michaelellison kirillostapenko rashontaewawrzyniak tomluginbil davepasch dannymooney henryfrostiii nicoleforest debbiestabenow milicagovich johnlepard sandralovealdridg grahamw.j.b henrifranklin jonathanwest t.j.martinelli chrisnewman luludahl samlogankhaleghi annemariedamman conniecraig henriettahermelin patrickleahi albertvalladar davidpari abigailkukli gregvioland tirenjham stevejasgur jonathanstanley jessenagi duvalemurchison thomasj.fentress coburngoss jeffhanlin garya.heck robinatkindown issacryanbrown bartonbund baileychas patricko'connorcronin sonjacrosbi c.t.fletcher ahmangreen dianagaitirira jalenemack esodiegeig nenenwoko scottedwardlogan marcusgoddard cruzgonzalez-cadel almamartinez sallopez marcelshihadeh theobonganindyalvan satorishakoor elebardha inderkumar brandonbautista lauraatwood debbiescaletta davidleach gordonmichael brianboland taraslo jasonhughley sidihenderson meighangerachi nicolesantini axelharney waynee.brown dantebriggin shannongarnett lynchr.travi carmengangal joecipriano willblagrov marcelobem charlesroven zacksnyd deborahsnyd"
